PDBCode,vina_deltaG(kcal/mol),vina_kd(uM)
4k7i,-3.8,910.9122748865717
4cj4,-8.1,0.33028148939851953
1a1e,-7.1,2.0845963989904144
5qqp,-10.8,0.002283033649063271
3uev,-6.4,7.57039268438389
3pju,-15.3,5.726541899822418e-07
3jzh,-6.5,6.296578650829274
4asj,-9.5,0.025043290192969626
5wmg,-10.4,0.004770538575984073
1g98,-7.2,1.73383676761635
2pvm,-8.8,0.09094688111405103
4pow,-9.3,0.03620086398907268
1bv9,-14.5,2.5003605711299675e-06
6n3x,-8.7,0.1093456687565821
3bv9,-8.8,0.09094688111405103
5orh,-7.3,1.4420968673812509
4i7k,-6.5,6.296578650829274
3hky,-10.6,0.0033001969779281387
5fsn,-6.9,3.0133496888978124
4d8z,-7.0,2.5063156047025017
4n8q,-5.5,39.74132854185163
3s2v,-8.1,0.33028148939851953
2qu6,-11.8,0.00036172170033716864
2bak,-11.9,0.00030085746286093027
5vc4,-8.8,0.09094688111405103
2uyn,-4.9,120.03973573657015
5nk8,-10.4,0.004770538575984073
6f05,-6.4,7.57039268438389
2yfe,-7.9,0.4774322856020205
3g2z,-7.3,1.4420968673812509
5fot,-6.2,10.943240836149698
4arw,-7.7,0.6901433917785629
3gi6,-9.9,0.011984951653390958
1nw7,-7.7,0.6901433917785629
5aa9,-10.4,0.004770538575984073
4u5o,-6.7,4.355891793719977
5avf,-5.5,39.74132854185163
6qe5,-10.2,0.006895963621916808
5am6,-9.5,0.025043290192969626
5uoo,-9.4,0.030109612121622685
3vtr,-6.6,5.2370998915105424
3fas,-6.4,7.57039268438389
1b5h,-8.1,0.33028148939851953
6k3l,-10.3,0.00573563078282912
2we3,-7.7,0.6901433917785629
2b1g,-9.4,0.030109612121622685
6ayt,-8.1,0.33028148939851953
1egh,-6.1,13.15708656454693
3arx,-7.6,0.8297611725390291
4euo,-5.1,83.0419389339917
2pyy,-5.7,27.492537847388252
4nh8,-12.3,0.00014398116697790598
1w5w,-13.0,3.964690270607901e-05
5f1v,-4.6,208.62500270683435
6n3w,-8.8,0.09094688111405103
4kz4,-7.0,2.5063156047025017
4qac,-11.8,0.00036172170033716864
4nl1,-5.1,83.0419389339917
6r8l,-10.4,0.004770538575984073
3f3d,-6.2,10.943240836149698
4p6c,-7.3,1.4420968673812509
1e1v,-8.1,0.33028148939851953
6g0z,-8.9,0.07564392150535396
1bwa,-14.6,2.0796433749108175e-06
1fh9,-7.2,1.73383676761635
5otr,-8.3,0.22848446895825622
2nsl,-7.6,0.8297611725390291
3kmy,-6.9,3.0133496888978124
3fzy,-8.4,0.19003907581389948
1om1,-10.8,0.002283033649063271
3drf,-7.4,1.19944588426849
5nk9,-10.7,0.0027448972201426568
5f2r,-10.1,0.008291034774616974
5j6a,-9.2,0.04352439175442664
4o0y,-8.4,0.19003907581389948
2qhz,-10.0,0.00996833240468876
4heg,-10.2,0.006895963621916808
5o9r,-8.3,0.22848446895825622
6j72,-10.2,0.006895963621916808
2zwz,-7.1,2.0845963989904144
4duh,-9.5,0.025043290192969626
4x5y,-9.6,0.02082944081630656
2qi6,-9.7,0.017324624734884792
5kat,-8.1,0.33028148939851953
3tmk,-12.3,0.00014398116697790598
2pu2,-8.5,0.1580626048714023
6ei5,-12.5,9.960431187605146e-05
4fsl,-10.1,0.008291034774616974
4wkp,-8.3,0.22848446895825622
5fsc,-4.5,250.83037659878684
4wko,-8.9,0.07564392150535396
5zkc,-9.5,0.025043290192969626
1nvq,-13.7,1.0917239574995946e-05
6mlo,-7.3,1.4420968673812509
4ksy,-14.4,3.0061899367383125e-06
1uw6,-6.6,5.2370998915105424
4da5,-7.7,0.6901433917785629
5iyy,-7.0,2.5063156047025017
