PDBCode,vina_deltaG(kcal/mol),vina_kd(uM)
10gs,-7.7,0.6901433917785629
5j41,-7.2,1.73383676761635
1a1e,-8.1,0.33028148939851953
1a28,-11.5,0.0006286600870029457
1sr7,-12.9,4.766757295488581e-05
2w8y,-12.2,0.0001731089268669813
1a30,-7.1,2.0845963989904144
1bv7,-15.2,6.885036034533444e-07
1bv9,-14.5,2.5003605711299675e-06
1bwa,-14.6,2.0796433749108175e-06
1bwb,-15.1,8.277896508238947e-07
1hvh,-10.1,0.008291034774616974
1hwr,-9.6,0.02082944081630656
3ao2,-7.6,0.8297611725390291
3t1a,-8.2,0.274707463881058
4q1w,-9.9,0.011984951653390958
4q1x,-9.6,0.02082944081630656
4q1y,-9.7,0.017324624734884792
5dgu,-9.8,0.014409538155705594
5dgw,-9.5,0.025043290192969626
6dif,-11.4,0.0007558396372900754
6dil,-11.2,0.0010925899790423489
6dj1,-11.3,0.0009087479372555044
6dj2,-11.1,0.0013136237380730529
6dj5,-10.3,0.00573563078282912
6dj7,-10.1,0.008291034774616974
6e7j,-10.5,0.0039678353029772165
6e9a,-10.5,0.0039678353029772165
1a4k,-10.7,0.0027448972201426568
1a4r,-8.9,0.07564392150535396
1a69,-8.3,0.22848446895825622
1k9s,-9.2,0.04352439175442664
1a94,-8.5,0.1580626048714023
1d4y,-11.4,0.0007558396372900754
1iiq,-10.0,0.00996833240468876
1izi,-9.9,0.011984951653390958
1lzq,-9.3,0.03620086398907268
1m0b,-8.8,0.09094688111405103
1mrw,-11.0,0.0015793731942713909
1mrx,-11.3,0.0009087479372555044
1msm,-12.6,8.284463036943888e-05
1msn,-12.1,0.00020812930739501562
1nh0,-9.5,0.025043290192969626
1sdt,-12.3,0.00014398116697790598
1sdu,-11.7,0.00043489892938203305
1sdv,-11.8,0.00036172170033716864
1sgu,-10.9,0.001898884448024712
1sh9,-9.1,0.05232948799687809
2pqz,-11.3,0.0009087479372555044
2pwc,-11.0,0.0015793731942713909
2pwr,-12.2,0.0001731089268669813
2pym,-10.8,0.002283033649063271
2pyn,-11.0,0.0015793731942713909
2q63,-10.8,0.002283033649063271
2q64,-10.8,0.002283033649063271
2qci,-10.3,0.00573563078282912
2qd6,-9.7,0.017324624734884792
2qd7,-9.9,0.011984951653390958
2qd8,-10.5,0.0039678353029772165
2qnn,-12.8,5.7310845395773126e-05
2qnp,-10.1,0.008291034774616974
2qnq,-10.3,0.00573563078282912
2r43,-11.2,0.0010925899790423489
2z4o,-10.3,0.00573563078282912
3a2o,-10.5,0.0039678353029772165
3bva,-9.2,0.04352439175442664
3bvb,-9.6,0.02082944081630656
3djk,-9.5,0.025043290192969626
3dk1,-10.1,0.008291034774616974
3ggu,-9.5,0.025043290192969626
3h5b,-10.7,0.0027448972201426568
3i6o,-12.6,8.284463036943888e-05
3kdb,-12.2,0.0001731089268669813
3kdc,-12.1,0.00020812930739501562
3kdd,-12.0,0.0002502344008522155
3pwm,-9.6,0.02082944081630656
3st5,-9.9,0.011984951653390958
3t3c,-9.5,0.025043290192969626
3ttp,-10.4,0.004770538575984073
3vf5,-10.7,0.0027448972201426568
3vf7,-10.5,0.0039678353029772165
3vfb,-10.5,0.0039678353029772165
4dfg,-10.2,0.006895963621916808
4hdb,-9.7,0.017324624734884792
4hdf,-10.1,0.008291034774616974
4hdp,-10.2,0.006895963621916808
4heg,-10.3,0.00573563078282912
4hla,-9.6,0.02082944081630656
1a99,-4.7,173.5212151917531
1a9m,-9.0,0.06291587782468923
1d4h,-11.9,0.00030085746286093027
1d4i,-12.8,5.7310845395773126e-05
1d4j,-12.3,0.00014398116697790598
1ebw,-10.0,0.00996833240468876
1eby,-12.2,0.0001731089268669813
1ebz,-11.0,0.0015793731942713909
1ec0,-12.8,5.7310845395773126e-05
1ec1,-10.6,0.0033001969779281387
1ec2,-10.9,0.001898884448024712
1ec3,-9.9,0.011984951653390958
1g35,-11.2,0.0010925899790423489
1mes,-11.5,0.0006286600870029457
1met,-11.8,0.00036172170033716864
1w5v,-12.8,5.7310845395773126e-05
1w5w,-13.1,3.297581136914559e-05
1w5x,-13.1,3.297581136914559e-05
1w5y,-12.7,6.890497661978354e-05
1zpa,-8.7,0.1093456687565821
1zsf,-10.0,0.00996833240468876
2aqu,-11.0,0.0015793731942713909
2uxz,-11.3,0.0009087479372555044
2uy0,-12.1,0.00020812930739501562
3nu3,-9.9,0.011984951653390958
3nu4,-9.8,0.014409538155705594
3nu5,-9.3,0.03620086398907268
3nu6,-9.4,0.030109612121622685
3nu9,-8.9,0.07564392150535396
3nuj,-9.4,0.030109612121622685
3nuo,-9.7,0.017324624734884792
3ok9,-9.8,0.014409538155705594
3qaa,-9.3,0.03620086398907268
3tkw,-9.2,0.04352439175442664
3zps,-9.5,0.025043290192969626
3zpu,-11.9,0.00030085746286093027
4cp7,-9.5,0.025043290192969626
4cpr,-9.5,0.025043290192969626
4cps,-12.1,0.00020812930739501562
4cpt,-11.9,0.00030085746286093027
4cpw,-11.9,0.00030085746286093027
4u8w,-10.1,0.008291034774616974
4zip,-10.6,0.0033001969779281387
4zls,-9.6,0.02082944081630656
5bry,-9.7,0.017324624734884792
5bs4,-9.8,0.014409538155705594
5jfp,-10.6,0.0033001969779281387
5jfu,-11.3,0.0009087479372555044
5jg1,-10.9,0.001898884448024712
5ult,-10.0,0.00996833240468876
5uov,-10.4,0.004770538575984073
5upz,-10.2,0.006895963621916808
6prf,-10.7,0.0027448972201426568
6o48,-8.4,0.19003907581389948
1a9q,-5.8,22.866571667288486
1b8n,-8.4,0.19003907581389948
1b8o,-8.8,0.09094688111405103
1lvu,-7.7,0.6901433917785629
1v48,-8.8,0.09094688111405103
3fuc,-8.7,0.1093456687565821
1afk,-6.9,3.0133496888978124
1afl,-7.2,1.73383676761635
1jn4,-8.4,0.19003907581389948
1jvu,-6.8,3.6229580706211117
1o0f,-7.0,2.5063156047025017
1o0h,-7.6,0.8297611725390291
1o0m,-6.3,9.101902568663261
1o0n,-6.3,9.101902568663261
1qhc,-7.3,1.4420968673812509
1u1b,-7.7,0.6901433917785629
1w4o,-6.4,7.57039268438389
1w4p,-6.3,9.101902568663261
1w4q,-6.9,3.0133496888978124
1z6s,-7.1,2.0845963989904144
