PDBCode,vina_deltaG(kcal/mol),vina_kd(uM)
10gs,-7.7,0.6901433917785629
5j41,-7.1,2.0845963989904144
1a1e,-7.8,0.5740180632436322
1a28,-11.4,0.0007558396372900754
1sr7,-12.6,8.284463036943888e-05
2w8y,-7.5,0.9976239889496118
1a30,-7.4,1.19944588426849
1bv7,-10.9,0.001898884448024712
1bv9,-14.5,2.5003605711299675e-06
1bwa,-14.6,2.0796433749108175e-06
1bwb,-15.2,6.885036034533444e-07
1hvh,-10.0,0.00996833240468876
1hwr,-6.0,15.818798969966572
3ao2,-7.6,0.8297611725390291
3t1a,-7.7,0.6901433917785629
4q1w,-9.9,0.011984951653390958
4q1x,-9.7,0.017324624734884792
4q1y,-9.7,0.017324624734884792
5dgu,-10.0,0.00996833240468876
5dgw,-9.5,0.025043290192969626
6dif,-11.3,0.0009087479372555044
6dil,-11.3,0.0009087479372555044
6dj1,-8.3,0.22848446895825622
6dj2,-8.6,0.13146657839569292
6dj5,-10.3,0.00573563078282912
6dj7,-10.1,0.008291034774616974
6e7j,-10.5,0.0039678353029772165
6e9a,-8.9,0.07564392150535396
1a4k,-10.7,0.0027448972201426568
1a4r,-8.7,0.1093456687565821
1a69,-8.3,0.22848446895825622
1k9s,-9.2,0.04352439175442664
1a94,-9.0,0.06291587782468923
1d4y,-11.4,0.0007558396372900754
1iiq,-9.3,0.03620086398907268
1izi,-9.9,0.011984951653390958
1lzq,-9.5,0.025043290192969626
1m0b,-8.6,0.13146657839569292
1mrw,-7.4,1.19944588426849
1mrx,-11.3,0.0009087479372555044
1msm,-12.6,8.284463036943888e-05
1msn,-12.1,0.00020812930739501562
1nh0,-9.7,0.017324624734884792
1sdt,-12.3,0.00014398116697790598
1sdu,-11.7,0.00043489892938203305
1sdv,-10.9,0.001898884448024712
1sgu,-10.8,0.002283033649063271
1sh9,-8.4,0.19003907581389948
2pqz,-11.4,0.0007558396372900754
2pwc,-10.7,0.0027448972201426568
2pwr,-6.5,6.296578650829274
2pym,-10.8,0.002283033649063271
2pyn,-11.0,0.0015793731942713909
2q63,-10.8,0.002283033649063271
2q64,-8.0,0.39709828301766137
2qci,-10.3,0.00573563078282912
2qd6,-9.7,0.017324624734884792
2qd7,-10.0,0.00996833240468876
2qd8,-10.5,0.0039678353029772165
2qnn,-12.2,0.0001731089268669813
2qnp,-10.3,0.00573563078282912
2qnq,-6.4,7.57039268438389
2r43,-11.0,0.0015793731942713909
2z4o,-10.2,0.006895963621916808
3a2o,-9.3,0.03620086398907268
3bva,-9.2,0.04352439175442664
3bvb,-9.6,0.02082944081630656
3djk,-9.5,0.025043290192969626
3dk1,-10.0,0.00996833240468876
3ggu,-9.5,0.025043290192969626
3h5b,-10.7,0.0027448972201426568
3i6o,-8.4,0.19003907581389948
3kdb,-12.2,0.0001731089268669813
3kdc,-9.1,0.05232948799687809
3kdd,-10.0,0.00996833240468876
3pwm,-9.6,0.02082944081630656
3st5,-10.1,0.008291034774616974
3t3c,-9.5,0.025043290192969626
3ttp,-10.4,0.004770538575984073
3vf5,-10.7,0.0027448972201426568
3vf7,-10.7,0.0027448972201426568
3vfb,-10.5,0.0039678353029772165
4dfg,-10.2,0.006895963621916808
4hdb,-9.9,0.011984951653390958
4hdf,-10.1,0.008291034774616974
4hdp,-10.2,0.006895963621916808
4heg,-10.2,0.006895963621916808
4hla,-9.6,0.02082944081630656
1a99,-4.7,173.5212151917531
1a9m,-9.1,0.05232948799687809
1d4h,-11.9,0.00030085746286093027
1d4i,-12.7,6.890497661978354e-05
1d4j,-12.3,0.00014398116697790598
1ebw,-8.1,0.33028148939851953
1eby,-12.2,0.0001731089268669813
1ebz,-9.5,0.025043290192969626
1ec0,-12.0,0.0002502344008522155
1ec1,-8.7,0.1093456687565821
1ec2,-10.0,0.00996833240468876
1ec3,-10.1,0.008291034774616974
1g35,-11.3,0.0009087479372555044
1mes,-11.4,0.0007558396372900754
1met,-11.9,0.00030085746286093027
1w5v,-9.0,0.06291587782468923
1w5w,-9.6,0.02082944081630656
1w5x,-13.0,3.964690270607901e-05
1w5y,-8.9,0.07564392150535396
1zpa,-9.2,0.04352439175442664
1zsf,-10.0,0.00996833240468876
2aqu,-11.1,0.0013136237380730529
2uxz,-11.3,0.0009087479372555044
2uy0,-11.7,0.00043489892938203305
3nu3,-10.0,0.00996833240468876
3nu4,-9.7,0.017324624734884792
3nu5,-9.3,0.03620086398907268
3nu6,-9.1,0.05232948799687809
3nu9,-9.1,0.05232948799687809
3nuj,-7.1,2.0845963989904144
3nuo,-9.7,0.017324624734884792
3ok9,-8.8,0.09094688111405103
3qaa,-9.0,0.06291587782468923
3tkw,-9.2,0.04352439175442664
3zps,-9.6,0.02082944081630656
3zpu,-11.9,0.00030085746286093027
4cp7,-9.8,0.014409538155705594
4cpr,-9.5,0.025043290192969626
4cps,-12.2,0.0001731089268669813
4cpt,-11.8,0.00036172170033716864
4cpw,-12.0,0.0002502344008522155
4u8w,-10.1,0.008291034774616974
4zip,-10.9,0.001898884448024712
4zls,-9.4,0.030109612121622685
5bry,-9.8,0.014409538155705594
5bs4,-9.9,0.011984951653390958
5jfp,-10.3,0.00573563078282912
5jfu,-9.0,0.06291587782468923
5jg1,-10.9,0.001898884448024712
5ult,-9.6,0.02082944081630656
5uov,-10.5,0.0039678353029772165
5upz,-10.2,0.006895963621916808
6prf,-10.8,0.002283033649063271
6o48,-8.7,0.1093456687565821
1a9q,-5.8,22.866571667288486
1b8n,-6.4,7.57039268438389
1b8o,-7.1,2.0845963989904144
1lvu,-8.1,0.33028148939851953
1v48,-8.7,0.1093456687565821
3fuc,-8.7,0.1093456687565821
1afk,-6.9,3.0133496888978124
1afl,-7.1,2.0845963989904144
1jn4,-8.4,0.19003907581389948
1jvu,-6.8,3.6229580706211117
1o0f,-6.8,3.6229580706211117
1o0h,-7.6,0.8297611725390291
1o0m,-6.3,9.101902568663261
1o0n,-6.3,9.101902568663261
1qhc,-8.6,0.13146657839569292
1u1b,-8.1,0.33028148939851953
1w4o,-6.6,5.2370998915105424
1w4p,-6.3,9.101902568663261
1w4q,-6.9,3.0133496888978124
1z6s,-7.1,2.0845963989904144
2w5g,-7.5,0.9976239889496118
2xog,-7.9,0.4774322856020205
3d6o,-6.7,4.355891793719977
3d6p,-6.5,6.296578650829274
3d8z,-7.0,2.5063156047025017
4g8v,-7.0,2.5063156047025017
4g8y,-7.0,2.5063156047025017
4g90,-7.0,2.5063156047025017
4rsk,-6.3,9.101902568663261
6pvw,-8.4,0.19003907581389948
6pvv,-6.8,3.6229580706211117
1alw,-5.8,22.866571667288486
1amw,-8.0,0.39709828301766137
1bgq,-8.1,0.33028148939851953
2cgf,-8.8,0.09094688111405103
2fxs,-6.9,3.0133496888978124
2iwx,-9.0,0.06291587782468923
2vw5,-7.0,2.5063156047025017
2vwc,-9.9,0.011984951653390958
2weq,-6.9,3.0133496888978124
2wer,-9.0,0.06291587782468923
2yge,-9.8,0.014409538155705594
2ygf,-6.4,7.57039268438389
1ax0,-5.8,22.866571667288486
3n35,-5.7,27.492537847388252
1b05,-8.0,0.39709828301766137
1b0h,-9.8,0.014409538155705594
1b1h,-9.5,0.025043290192969626
1b2h,-6.5,6.296578650829274
1b32,-5.3,57.44734091259698
1b3f,-9.1,0.05232948799687809
1b3g,-8.3,0.22848446895825622
1b3h,-8.0,0.39709828301766137
1b3l,-7.6,0.8297611725390291
1b40,-9.6,0.02082944081630656
1b46,-7.3,1.4420968673812509
1b4h,-8.3,0.22848446895825622
1b4z,-5.5,39.74132854185163
1b51,-7.9,0.4774322856020205
1b52,-7.9,0.4774322856020205
1b58,-5.9,19.01898263149658
1b5h,-7.9,0.4774322856020205
1b5i,-8.2,0.274707463881058
1b5j,-8.7,0.1093456687565821
1b6h,-8.6,0.13146657839569292
1b7h,-5.9,19.01898263149658
1b9j,-5.6,33.05434886731773
1qka,-9.4,0.030109612121622685
1qkb,-8.6,0.13146657839569292
1b38,-9.2,0.04352439175442664
1e1v,-8.1,0.33028148939851953
1e1x,-8.0,0.39709828301766137
1jsv,-7.2,1.73383676761635
1pxn,-9.5,0.025043290192969626
1pxo,-8.6,0.13146657839569292
1pxp,-9.1,0.05232948799687809
2exm,-6.2,10.943240836149698
2fvd,-10.1,0.008291034774616974
2xmy,-8.9,0.07564392150535396
2xnb,-10.9,0.001898884448024712
5jq5,-10.0,0.00996833240468876
6guh,-10.2,0.006895963621916808
6guk,-9.5,0.025043290192969626
6q4g,-7.9,0.4774322856020205
6q4e,-5.5,39.74132854185163
1b55,-6.9,3.0133496888978124
6nfh,-9.8,0.014409538155705594
1b57,-5.4,47.781101379763854
1b6j,-11.6,0.0005228800998152405
1b6k,-11.6,0.0005228800998152405
1b6l,-9.6,0.02082944081630656
1d4k,-12.0,0.0002502344008522155
1d4l,-9.0,0.06291587782468923
1kzk,-10.0,0.00996833240468876
1z1h,-10.6,0.0033001969779281387
2fgu,-12.1,0.00020812930739501562
2fgv,-11.2,0.0010925899790423489
2qhy,-9.0,0.06291587782468923
2qhz,-10.0,0.00996833240468876
2qi0,-9.5,0.025043290192969626
2qi1,-10.2,0.006895963621916808
2qi3,-8.9,0.07564392150535396
2qi4,-9.7,0.017324624734884792
2qi5,-9.6,0.02082944081630656
2qi6,-9.9,0.011984951653390958
2qi7,-8.3,0.22848446895825622
3ekp,-9.0,0.06291587782468923
3ekt,-9.5,0.025043290192969626
3ekv,-9.4,0.030109612121622685
3ekw,-11.2,0.0010925899790423489
3ekx,-11.1,0.0013136237380730529
3el1,-9.9,0.011984951653390958
3el4,-11.9,0.00030085746286093027
3el5,-10.8,0.002283033649063271
3el9,-10.5,0.0039678353029772165
3gi4,-9.7,0.017324624734884792
3gi5,-9.8,0.014409538155705594
3gi6,-9.9,0.011984951653390958
3i7e,-9.5,0.025043290192969626
3mxd,-9.4,0.030109612121622685
3mxe,-10.0,0.00996833240468876
3o9i,-10.1,0.008291034774616974
1b8y,-11.5,0.0006286600870029457
1ciz,-12.6,8.284463036943888e-05
1hfs,-13.2,2.7427215273659735e-05
1usn,-7.5,0.9976239889496118
2d1o,-8.2,0.274707463881058
